,Comb
1992-03,0.7087239860150756
1992-04,0.2885839151625435
1992-05,0.4919097708587201
1992-06,0.6809384482467689
1992-07,0.8940269255515418
1992-08,0.6241850068221377
1992-09,0.5426396075336928
1992-10,0.2163756183506137
1992-11,0.3963324445591769
1992-12,0.4498549801134698
1993-01,0.36797828467307664
1993-02,0.7644167705053566
1993-03,0.57088172515261
1993-04,0.5764330103216545
1993-05,0.4024019804770032
1993-06,0.6867343888731512
1993-07,0.580310101108641
1993-08,0.330857445896686
1993-09,0.8109610811457783
1993-10,0.6227446043271201
1993-11,0.9065198427420651
1993-12,0.5483172692542958
1994-01,0.920054208340021
1994-02,0.6561990046532917
1994-03,0.42040678873863024
1994-04,0.03058033720775538
1994-05,0.6259668619226282
1994-06,0.4336660811197961
1994-07,0.6422504802873794
1994-08,0.7877835719220149
1994-09,0.4899597898432044
1994-10,0.3754679859806785
1994-11,0.37875277815285513
1994-12,0.7658612747888318
1995-01,0.8726143757316063
1995-02,0.820312404303413
1995-03,0.21312541889306352
1995-04,0.7102563484481472
1995-05,0.294461026115521
1995-06,0.8182181359921421
1995-07,0.7858110872495557
1995-08,0.5301325951541173
1995-09,0.7062733180368508
1995-10,0.5143301466362911
1995-11,0.4722375782255666
1995-12,0.6699293738443449
1996-01,0.35947908852091426
1996-02,0.35794381779876183
1996-03,0.7926413314799283
1996-04,0.6545941909123156
1996-05,0.8020367799711852
1996-06,0.43291046399664307
1996-07,0.27145788336943827
1996-08,0.24853628477334588
1996-09,0.31051187946503656
1996-10,0.5495450653838402
1996-11,0.6595164848168313
1996-12,0.9234969639770609
1997-01,0.25426790848216674
1997-02,0.4214554472971954
1997-03,0.14699126503294463
1997-04,0.9026845456115896
1997-05,0.31873774620988515
1997-06,0.3781397232494312
1997-07,0.3635306261177368
1997-08,0.4706158704728077
1997-09,0.8350986585568948
1997-10,0.8420001978330429
1997-11,0.5605375739463673
1997-12,0.2982937438991891
1998-01,0.668149659771195
1998-02,0.6797549569704391
1998-03,0.7505007841039484
1998-04,0.6544660879850782
1998-05,0.5226426347295499
1998-06,0.5635411487437367
1998-07,0.3100704590637425
1998-08,0.5980203486682536
1998-09,0.48771060021735896
1998-10,0.13958439845342147
1998-11,0.4673163431724716
1998-12,0.42935807209877813
1999-01,0.3115723054592087
1999-02,0.47216085162236027
1999-03,0.2042129843174481
1999-04,0.12253116612495807
1999-05,0.6733369749986078
1999-06,0.8505896497252718
1999-07,0.966550348725198
1999-08,0.5294963181183606
1999-09,0.5488636218437231
1999-10,0.44725480397783945
1999-11,0.47108774499673955
1999-12,0.3315191184167637
2000-01,0.4822775829598385
2000-02,0.2713756600556863
2000-03,0.41843966236971575
2000-04,0.5836487934492778
2000-05,0.6016629755797147
2000-06,0.6189335743898288
2000-07,0.7500476383233091
2000-08,0.8226583408631677
2000-09,0.6519154917361502
2000-10,0.12268081719421642
2000-11,0.8066477800592562
2000-12,0.6824429727709629
2001-01,0.41091816868543113
2001-02,0.3136158412060364
2001-03,0.11174328635546815
2001-04,0.5896824558842506
2001-05,0.5547861703927255
2001-06,0.39380348471422033
2001-07,0.19449355479344616
2001-08,0.28456273843070656
2001-09,0.542443698586502
2001-10,0.4933095472429973
2001-11,0.5913890634796481
2001-12,0.2701013596446347
2002-01,0.42280905246639294
2002-02,0.42519641148376464
2002-03,0.39966273201437785
2002-04,0.7478711839441377
2002-05,0.45257406974544667
2002-06,0.5217196590261433
2002-07,0.5290456187602088
2002-08,0.3008827906850247
2002-09,0.5635559059291164
2002-10,0.9247109207853941
2002-11,0.44015790417373346
2002-12,0.13384094119496664
2003-01,0.5543977768577666
2003-02,0.4005954681038933
2003-03,0.8773666847933177
2003-04,0.6266668154781573
2003-05,0.4987625021110513
2003-06,0.7648850099106834
2003-07,0.5415522187067083
2003-08,0.5633895683691369
2003-09,0.11867700469473297
2003-10,0.6927480631619591
2003-11,0.6222690278813154
2003-12,0.2774085369900803
2004-01,0.6806197925703705
2004-02,0.364787108249482
2004-03,0.7368698900468145
2004-04,0.31444815434209505
2004-05,0.5907092972797352
2004-06,0.38190635496864933
2004-07,0.6788201465232071
2004-08,0.6266906835952508
2004-09,0.19024466314415212
2004-10,0.20523374841483333
2004-11,0.1923566197301882
2004-12,0.4279852848696438
2005-01,0.4497958362250955
2005-02,0.2985634700942039
2005-03,0.3875907298172448
2005-04,0.48850554811120483
2005-05,0.5759399336399948
2005-06,0.46702492635864806
2005-07,0.5451365790391829
2005-08,0.31185782034936416
2005-09,0.4720286349007072
2005-10,0.8661559050360332
2005-11,0.53828095229338
2005-12,0.5178758982795404
2006-01,0.59558418235001
2006-02,0.32657051035242535
2006-03,0.5572627319922765
2006-04,0.3958557317142194
2006-05,0.49991690285726914
2006-06,0.5817396918362643
2006-07,0.8982405647630678
2006-08,0.658759869054692
2006-09,0.28313189825038
2006-10,0.6524951316342303
2006-11,0.2780356428317878
2006-12,0.11835748009351132
2007-01,0.6461225861895872
2007-02,0.42042964208688377
2007-03,0.6346148753619121
2007-04,0.7178894544663994
2007-05,0.4312506052423333
2007-06,0.8357915822304018
2007-07,0.30383635709783374
2007-08,0.71209559290411
2007-09,0.7404274260864336
2007-10,0.424530187803056
2007-11,0.2481586322925065
2007-12,0.22241361861033626
2008-01,0.4074430490829387
2008-02,0.07006675466796863
2008-03,0.7673019417267715
2008-04,0.5073683356730663
2008-05,0.7035216724734764
2008-06,0.748332256024246
2008-07,0.8852480096311173
2008-08,0.7951433974049409
2008-09,0.1560248991627125
2008-10,0.24467864732130884
2008-11,0.6073918836051064
2008-12,0.7772242443692052
2009-01,0.20589493019006055
2009-02,0.5285750795719274
2009-03,0.5331945199750387
2009-04,0.5372510729463306
2009-05,0.3695135175968271
2009-06,0.5727768937910016
2009-07,0.6267210789174269
2009-08,0.7555046968355449
2009-09,0.8045818378955645
2009-10,0.5849964015874349
2009-11,0.5570075600232998
2009-12,0.41405348910504153
2010-01,0.5471251091835012
2010-02,0.6244403485429315
2010-03,0.9068368182171747
2010-04,0.47330473734529643
2010-05,0.5726991594498929
2010-06,0.5234489936904543
2010-07,0.23413012277851192
2010-08,0.4416062648722395
2010-09,0.04346626422747979
2010-10,0.8440937699162543
2010-11,0.43975247863631295
2010-12,0.4681031371284936
2011-01,0.4095763968988754
2011-02,0.09509397114987211
2011-03,0.17079834503404162
2011-04,0.8035216032605859
2011-05,0.1753229165724572
2011-06,0.8507561452787935
2011-07,0.15845470043478033
2011-08,0.1735355323718346
2011-09,0.34865853602855407
2011-10,0.29242644554489844
2011-11,0.700684609856759
2011-12,0.3933968548042598
2012-01,0.23058896257092248
2012-02,0.587166564834282
2012-03,0.6270389043643692
2012-04,0.6898936188859939
2012-05,0.24182296441033713
2012-06,0.025208019320334563
2012-07,0.556523177859519
2012-08,0.8726162579767147
2012-09,0.4501869710140355
2012-10,0.48512990290803204
2012-11,0.3985266814440415
2012-12,0.8267200898462937
2013-01,0.16355181585810735
2013-02,0.5780823066811095
2013-03,0.7648072348385379
2013-04,0.1708491855812339
2013-05,0.8063578160321723
2013-06,0.5280187546482166
2013-07,0.662296649280163
2013-08,0.813764345787028
2013-09,0.21872945398639898
2013-10,0.41250761538451364
2013-11,0.5359050702908575
2013-12,0.12339158494818303
2014-01,0.6674759134147459
2014-02,0.2496678127923408
2014-03,0.8642509637963938
2014-04,0.7506585855512603
2014-05,0.29511892286833225
2014-06,0.49146720143941436
2014-07,0.514083487633243
2014-08,0.5468142938165357
2014-09,0.6852366613103541
2014-10,0.6772792927393263
2014-11,0.0929317977214264
2014-12,0.45365676179430126
2015-01,0.4775720971034422
2015-02,0.36973021170429154
2015-03,0.39196608495616875
2015-04,0.6349368215948687
2015-05,0.3539005189192002
2015-06,0.3755169232654467
2015-07,0.8125650381696528
2015-08,0.5660570071133185
2015-09,0.8278582484847811
2015-10,0.22336836196820525
2015-11,0.5950284863277477
2015-12,0.21264791044171233
2016-01,0.5708804013423344
2016-02,0.04717059283456393
2016-03,0.37920342193342815
2016-04,0.3084118028841604
2016-05,0.4052625371177368
2016-06,0.39158305625136974
2016-07,0.6966595593428566
2016-08,0.29374110012376575
2016-09,0.8676162902899331
2016-10,0.5648068181072011
2016-11,0.7118978689006175
2016-12,0.49484585643312523
2017-01,0.5996316258224026
2017-02,0.5936191833035791
2017-03,0.5450172682908614
2017-04,0.3273147206879915
2017-05,0.7367819209206424
2017-06,0.49355124448386994
2017-07,0.4971794338864249
2017-08,0.3125569553665641
2017-09,0.5216304299507648
2017-10,0.5413468181965293
2017-11,0.2574734449554157
2017-12,0.6118134977180983
2018-01,0.6156269873831298
2018-02,0.30015180529836555
2018-03,0.7701027772460614
2018-04,0.724962899731008
2018-05,0.20431233641769564
2018-06,0.31192784316209876
2018-07,0.5733148874940937
2018-08,0.9352217692156868
2018-09,0.8814435985015399
2018-10,0.5207204438945333
2018-11,0.7047694494583946
2018-12,0.46066314493005595
2019-01,0.3507927462054747
2019-02,0.5233104799533255
2019-03,0.45732783427700957
2019-04,0.6470856130803673
2019-05,0.5576849296632405
2019-06,0.7270996554957702
2019-07,0.6909196661019195
2019-08,0.6155391408808357
2019-09,0.19880900796051687
2019-10,0.6560716780435814
2019-11,0.4360991513619986
2019-12,0.8417803707134297
2020-01,0.3766277985668799
2020-02,0.5562662652201571
2020-03,0.5499657922666823
2020-06,0.28955713303735536
2020-07,0.6966085668652897
2020-08,0.44884111508735774
2020-09,0.6361528884932068
2020-10,0.4334247954665459
2020-11,0.3001543752170317
2020-12,0.6826857439031663
2021-01,0.40953009786432787
2021-02,0.47605464525125024
2021-03,0.3536563233745394
2021-04,0.5272392842035556
2021-05,0.5421164215799863
2021-06,0.6019934900851922
2021-07,0.29896537931431183
2021-08,0.3553930983955864
2021-09,0.23061276319712337
2021-10,0.3811238204091738
2021-11,0.2010086176509322
2021-12,0.5133797108490983
